category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Watering & Irrigation,L3,44%,25,0.00%,$608.62,85.34%,97.30%,(0%),(88.14%),(11.86%),40%,38,13.69%,$2.96k,81.14%,95.50%,(2.45%),(86.19%),(11.36%),48%,55,-32.54%,$11.51k,83.40%,94.74%,(4.19%),(82%),(13.7%),51%,98,-48.93%,$27.72k,76.06%,91.83%,(3.89%),(71.08%),(24.67%),46%,163,74.71%,$26.20k,70.59%,89.20%,(2.9%),(72.02%),(24.65%)
Model & Toy Vehicles,L3,29%,26,0.00%,$545.13,76.18%,95.23%,(5.6%),(93.78%),(0.62%),37%,40,-42.35%,$3.80k,83.45%,95.71%,(1.27%),(96.11%),(2.62%),30%,57,19.92%,$11.06k,68.59%,91.32%,(1.77%),(94.13%),(4.1%),21%,115,31.59%,$13.96k,53.93%,84.35%,(1.93%),(80.95%),(16.17%),19%,172,88.13%,$14.29k,48.31%,75.84%,(1.4%),(78.16%),(19.81%)
Mouthwash,L3,17%,2,0.00%,$5.28k,100.00%,100.00%,(8.09%),(91.91%),(0%),20%,2,-20.84%,$56.59k,100.00%,100.00%,(3.51%),(96.49%),(0%),22%,2,-28.94%,$311.61k,100.00%,100.00%,(5.18%),(92.22%),(2.49%),26%,2,2.30%,$877.74k,100.00%,100.00%,(3.43%),(89.11%),(6.33%),51%,2,-56.48%,$2.89m,100.00%,100.00%,(2.09%),(94.69%),(1.95%)
Action Cameras,L3,15%,7,0.00%,$2.71k,98.04%,100.00%,(4.64%),(94.42%),(0.94%),15%,10,-9.46%,$14.17k,97.20%,100.00%,(9.29%),(88.74%),(1.97%),16%,18,-35.18%,$34.54k,95.64%,99.70%,(8.46%),(83.74%),(7.67%),14%,34,-37.08%,$68.49k,94.82%,98.95%,(6.31%),(82.7%),(9.06%),19%,54,-51.67%,$132.34k,95.84%,98.98%,(2.81%),(90.19%),(5.78%)
Voice Recorders,L3,6%,5,0.00%,$1.26k,99.51%,100.00%,(0.05%),(85.47%),(14.48%),8%,6,-27.60%,$12.37k,99.31%,100.00%,(0%),(91.28%),(8.72%),9%,14,-54.90%,$44.17k,99.34%,99.99%,(0%),(95.4%),(4.6%),6%,26,42.20%,$52.16k,97.25%,99.76%,(0%),(90.99%),(7.43%),6%,36,-20.80%,$85.24k,95.90%,99.74%,(0.01%),(90.65%),(8.56%)
Women's Sleepwear,L2,1%,53,0.00%,$251.98,49.93%,81.87%,(5.15%),(84.42%),(10.43%),1%,84,-26.28%,$1.46k,42.13%,78.39%,(9.89%),(79.25%),(10.85%),1%,102,-9.94%,$6.04k,42.74%,75.42%,(14.23%),(71.9%),(13.69%),1%,181,-9.39%,$11.03k,40.51%,68.98%,(8.57%),(65.77%),(24.93%),1%,330,19.19%,$11.13k,46.03%,70.30%,(6.99%),(65.57%),(26.88%)
Building Supplies,L2,12%,64,0.00%,$266.06,55.19%,75.83%,(10.89%),(71.7%),(17.41%),11%,102,-4.86%,$1.26k,55.87%,75.21%,(11.16%),(71.26%),(17.58%),11%,150,-27.84%,$4.09k,56.88%,74.32%,(6.68%),(73.5%),(19.79%),10%,286,-7.14%,$7.15k,46.21%,62.91%,(4.67%),(68.38%),(26.33%),12%,644,-16.42%,$6.98k,38.23%,56.71%,(3.22%),(66.03%),(30.26%)
Art Supplies,L3,15%,66,0.00%,$254.30,57.50%,83.84%,(31.03%),(60.54%),(8.43%),15%,116,-10.19%,$1.08k,46.29%,79.87%,(22.07%),(65.97%),(11.96%),16%,173,-24.13%,$3.52k,56.53%,78.68%,(16.44%),(71.22%),(12.31%),16%,306,-10.97%,$6.09k,44.05%,72.45%,(11.98%),(64.61%),(23.21%),15%,541,19.67%,$6.32k,45.06%,72.87%,(10.51%),(67.83%),(21.45%)
Crafts & DIY,L3,61%,33,0.00%,$554.21,74.52%,95.01%,(23.49%),(67.99%),(8.51%),70%,47,-29.61%,$3.57k,80.19%,93.35%,(18.5%),(75.44%),(6.06%),62%,73,-3.25%,$8.28k,76.90%,88.69%,(19.93%),(72.3%),(7.72%),72%,118,-14.18%,$22.57k,80.48%,90.54%,(15.6%),(73.46%),(10.82%),42%,168,117.22%,$23.15k,72.38%,86.66%,(20.08%),(63.21%),(16.61%)
Wallets,L3,57%,58,0.00%,$312.34,57.39%,84.65%,(14.54%),(69.78%),(15.68%),55%,80,-14.41%,$1.82k,61.58%,83.53%,(6.51%),(77.35%),(16.14%),42%,116,9.14%,$5.18k,56.56%,80.98%,(6.98%),(74.95%),(18.06%),37%,187,8.77%,$9.81k,49.06%,79.25%,(11.67%),(63.71%),(24.34%),36%,363,13.67%,$9.50k,48.73%,77.87%,(9.88%),(59.88%),(29.99%)
Keyboards & Mice,L3,33%,43,0.00%,$261.80,44.17%,75.63%,(2.3%),(86.23%),(11.47%),30%,67,-29.29%,$1.57k,49.06%,79.74%,(1.04%),(87.79%),(11.17%),34%,96,-37.86%,$6.24k,53.35%,83.32%,(0.68%),(89.56%),(9.74%),41%,136,8.08%,$14.89k,49.29%,81.42%,(0.69%),(82.1%),(16.66%),42%,206,96.17%,$14.84k,48.10%,78.67%,(1.58%),(73.78%),(24.18%)
Underwear Sets,L3,5%,46,0.00%,$339.30,70.98%,93.08%,(26.86%),(65.29%),(7.85%),4%,52,-24.55%,$2.38k,73.75%,93.23%,(15.24%),(70.11%),(14.66%),4%,68,-13.53%,$8.76k,72.90%,92.50%,(8.02%),(74.45%),(17.5%),4%,97,-1.57%,$18.23k,72.23%,91.47%,(5.87%),(69.09%),(24.58%),4%,182,303.14%,$12.13k,61.93%,86.87%,(6.85%),(66.9%),(25.88%)
Fishing,L3,41%,88,0.00%,$140.99,36.36%,64.43%,(17.52%),(49.5%),(32.98%),39%,137,-7.53%,$875.26,41.63%,66.09%,(12.17%),(47.16%),(40.67%),44%,203,-23.47%,$2.92k,34.40%,61.27%,(25.1%),(48.87%),(26.04%),44%,326,-5.76%,$6.11k,25.41%,51.84%,(17.5%),(47.84%),(34.5%),44%,444,83.65%,$6.92k,25.77%,47.13%,(16.9%),(42.64%),(40.32%)
Writing & Correction Tools,L3,13%,82,0.00%,$184.90,48.56%,72.69%,(33.84%),(47.63%),(18.53%),14%,110,-4.81%,$1.06k,39.32%,67.28%,(21.85%),(56.94%),(21.21%),15%,150,-16.54%,$3.95k,39.81%,64.60%,(24.24%),(54.23%),(21.49%),13%,250,43.11%,$6.20k,35.33%,60.32%,(20.75%),(46.81%),(31.97%),13%,521,15.13%,$5.56k,31.63%,54.33%,(17.25%),(43.4%),(38.3%)
Blouses & Shirts,L3,2%,71,0.00%,$167.07,38.96%,71.91%,(5.5%),(77.85%),(16.64%),2%,104,-27.47%,$1.12k,41.10%,76.07%,(4.9%),(80.14%),(14.97%),2%,150,-15.03%,$3.93k,43.33%,68.77%,(5.98%),(75.36%),(18.58%),2%,248,7.81%,$6.93k,36.71%,63.96%,(4.46%),(67.57%),(26.2%),2%,470,20.68%,$6.69k,31.30%,60.50%,(4.9%),(65.67%),(28.18%)
Pull Up Bars,L3,5%,13,0.00%,$994.22,94.55%,99.43%,(0%),(95.96%),(4.04%),6%,23,-18.71%,$4.54k,92.07%,97.72%,(0.14%),(95.4%),(4.45%),6%,30,-14.19%,$19.35k,91.08%,97.25%,(2.72%),(90.7%),(6.57%),5%,53,16.86%,$27.45k,82.16%,95.73%,(3.39%),(79.06%),(17.3%),5%,112,55.57%,$21.34k,71.95%,92.32%,(2.27%),(71.65%),(25.9%)
Women's Special Clothing,L2,1%,42,0.00%,$424.40,88.12%,94.48%,(14.57%),(81.72%),(3.71%),1%,56,-14.65%,$2.72k,87.89%,94.69%,(7.1%),(88.27%),(4.63%),1%,99,-15.44%,$5.84k,79.31%,92.15%,(11.61%),(80.99%),(7.31%),1%,148,13.42%,$11.73k,82.84%,92.68%,(6.95%),(77.06%),(15.49%),1%,261,318.44%,$8.24k,77.77%,87.92%,(6.77%),(72.59%),(20.14%)
Small Animal Supplies,L2,8%,97,0.00%,$130.42,37.40%,58.94%,(4.68%),(81.29%),(14.03%),8%,150,-25.84%,$803.57,40.40%,63.12%,(5.37%),(80.88%),(13.75%),9%,199,-17.81%,$2.90k,38.16%,57.28%,(4.63%),(78.32%),(17.03%),12%,345,-25.03%,$7.24k,37.56%,57.83%,(2.26%),(72.17%),(25.18%),13%,654,34.40%,$6.66k,27.14%,51.26%,(1.49%),(69.27%),(28.88%)
Large Home Appliances,L2,3%,26,0.00%,$622.52,41.06%,81.46%,(14.6%),(69.67%),(15.73%),2%,42,10.68%,$2.70k,35.74%,74.28%,(8.49%),(76.81%),(14.7%),3%,56,-32.78%,$10.28k,38.66%,77.07%,(5.08%),(78.52%),(16.18%),3%,95,-15.59%,$20.13k,52.66%,76.83%,(2.14%),(70.54%),(26.41%),3%,182,17.01%,$19.49k,59.07%,79.29%,(1.41%),(69.67%),(28.2%)
Dried Snacks,L3,8%,31,0.00%,$456.64,85.61%,94.71%,(23.72%),(72.73%),(3.55%),9%,44,11.47%,$2.30k,80.19%,92.73%,(11.19%),(81.45%),(7.36%),12%,65,-30.20%,$8.83k,72.58%,91.70%,(16.94%),(74.74%),(8.25%),11%,115,7.27%,$15.77k,74.14%,90.49%,(21.41%),(60.55%),(17.92%),9%,187,79.85%,$15.09k,69.19%,88.31%,(22.68%),(53.13%),(24.11%)
Camping Lighting,L3,41%,24,0.00%,$460.73,65.63%,96.06%,(0%),(80.36%),(19.64%),34%,35,20.49%,$2.30k,66.23%,94.18%,(5.35%),(75.72%),(18.93%),41%,62,-46.54%,$9.23k,70.66%,94.69%,(3.17%),(85.07%),(11.26%),48%,110,-48.86%,$25.41k,78.57%,94.34%,(0.88%),(87.37%),(10.55%),49%,186,111.73%,$22.13k,72.00%,91.45%,(0.6%),(84.08%),(14.39%)
Knife Block Sets,L3,75%,40,0.00%,$257.34,48.68%,83.34%,(2.27%),(90.36%),(7.37%),78%,57,-16.21%,$1.52k,45.45%,82.72%,(1.53%),(87.24%),(11.23%),83%,88,-39.23%,$6.50k,47.94%,83.48%,(2.63%),(77.68%),(19.49%),87%,123,-20.81%,$15.73k,45.49%,79.59%,(2.05%),(74.34%),(22.8%),87%,290,26.99%,$11.92k,40.19%,79.45%,(1.19%),(72.65%),(25.43%)
Car Video Players,L3,14%,2,0.00%,$2.86k,100.00%,100.00%,(0%),(100%),(0%),24%,2,-29.43%,$34.04k,100.00%,100.00%,(0%),(96.88%),(3.12%),40%,3,-66.39%,$190.49k,100.00%,100.00%,(0.05%),(98.35%),(0.8%),67%,4,-74.32%,$1.38m,96.67%,100.00%,(0.02%),(93.77%),(4.09%),39%,4,1300.76%,$1.48m,96.27%,100.00%,(0.02%),(94.18%),(3.81%)
Point & Shoot Cameras,L3,11%,13,0.00%,$1.02k,72.69%,99.27%,(0%),(96.51%),(3.49%),14%,22,-4.57%,$5.74k,73.69%,98.49%,(2.26%),(89.99%),(7.75%),15%,34,-26.22%,$16.76k,83.20%,98.07%,(2.4%),(89.42%),(7.37%),25%,47,-57.67%,$91.10k,93.70%,98.42%,(0.58%),(85.78%),(11.13%),23%,66,0.65%,$129.34k,95.33%,98.44%,(0.29%),(90.37%),(7.97%)
Rings,L3,11%,141,0.00%,$115.39,27.15%,62.68%,(31.39%),(36.58%),(32.03%),12%,193,-12.18%,$656.50,29.28%,61.21%,(29.53%),(35.7%),(34.77%),12%,257,-8.97%,$2.19k,25.78%,57.41%,(27.59%),(30.75%),(41.56%),11%,372,29.66%,$3.96k,23.25%,52.10%,(28.75%),(25.93%),(45%),13%,N/A,N/A,$5.34k,23.15%,49.10%,(24.36%),(26.35%),(48.63%)
Boxing & Martial Arts,L3,50%,55,0.00%,$278.99,67.06%,87.18%,(7.29%),(61.9%),(30.81%),52%,84,-7.88%,$1.93k,68.68%,85.73%,(10.63%),(46.1%),(43.27%),42%,132,-17.71%,$4.26k,57.67%,77.04%,(10.38%),(52.35%),(37.26%),36%,232,12.03%,$7.02k,33.93%,60.60%,(14.09%),(49.73%),(35.24%),35%,381,97.90%,$6.44k,24.70%,53.23%,(10.37%),(49.21%),(39.57%)
Juicers & Blenders,L3,14%,24,0.00%,$617.99,75.74%,93.06%,(0.69%),(97.27%),(2.04%),13%,37,-15.10%,$4.50k,74.21%,93.07%,(1.15%),(91.89%),(6.96%),16%,43,16.94%,$13.05k,66.56%,89.88%,(1.18%),(90.46%),(7.48%),18%,89,-13.97%,$22.38k,64.21%,85.51%,(0.43%),(82.58%),(15.78%),22%,171,36.21%,$20.20k,59.73%,81.34%,(0.3%),(81.15%),(17.52%)
Garden Decor,L3,50%,82,0.00%,$209.90,41.07%,66.66%,(5.82%),(82.47%),(11.71%),53%,137,-8.42%,$1.08k,41.99%,69.93%,(4.72%),(82.82%),(12.46%),42%,197,14.24%,$2.84k,31.35%,62.69%,(4.55%),(77.52%),(17.9%),42%,346,-26.93%,$6.48k,26.12%,54.23%,(5.09%),(70.32%),(24.17%),47%,675,6.00%,$6.46k,19.80%,47.98%,(7.1%),(60.88%),(31.71%)
Card Games,L3,59%,12,0.00%,$722.26,82.53%,99.41%,(25.23%),(25.06%),(49.71%),72%,24,-42.36%,$4.42k,69.36%,91.27%,(80.08%),(11.09%),(8.83%),72%,31,-34.87%,$17.94k,65.98%,88.23%,(70.54%),(9.25%),(20.21%),85%,41,-57.14%,$90.01k,78.64%,94.19%,(50.35%),(3.95%),(45.7%),80%,41,1213.34%,$96.86k,79.22%,94.37%,(50.29%),(4.29%),(45.42%)
Makeup Fixer Spray,L3,1%,25,0.00%,$354.78,78.98%,95.45%,(1.36%),(93.9%),(4.73%),2%,38,-77.29%,$4.21k,89.52%,97.33%,(2.42%),(92.06%),(5.52%),2%,53,0.77%,$10.43k,81.32%,94.61%,(6.1%),(88.92%),(4.92%),3%,93,-45.10%,$30.45k,85.34%,95.33%,(5.18%),(84.3%),(9.45%),3%,176,16.22%,$29.93k,85.04%,94.25%,(5.1%),(86.02%),(8.12%)
Boots,L3,29%,37,0.00%,$405.74,50.51%,82.52%,(3.55%),(84.69%),(11.76%),27%,51,-1.44%,$2.37k,44.91%,81.05%,(4.91%),(84.64%),(10.45%),25%,81,-10.60%,$6.78k,51.88%,79.97%,(5.09%),(81.18%),(13.43%),26%,111,-1.89%,$16.53k,43.98%,76.25%,(3.06%),(73.1%),(23.48%),27%,194,29.73%,$16.75k,36.21%,71.53%,(4.83%),(65.67%),(29.19%)
Costumes & Accessories,L3,98%,35,0.00%,$500.71,89.63%,95.81%,(14.82%),(82.39%),(2.79%),98%,45,-14.35%,$3.31k,89.83%,96.36%,(7.05%),(89.2%),(3.75%),95%,80,-11.56%,$6.85k,83.58%,94.56%,(9.67%),(84.15%),(6.08%),95%,124,7.32%,$13.32k,87.04%,94.78%,(5.66%),(79.91%),(13.9%),93%,216,389.58%,$9.21k,84.07%,91.60%,(5.72%),(75.34%),(18.44%)
Backpacks,L3,13%,35,0.00%,$449.42,73.22%,90.83%,(6.04%),(83.41%),(10.55%),15%,54,7.68%,$2.16k,76.27%,91.23%,(5.29%),(86.01%),(8.69%),13%,74,-26.70%,$7.38k,71.03%,88.91%,(5.56%),(81.44%),(11.8%),15%,134,-23.20%,$15.40k,73.86%,88.57%,(6.22%),(75.85%),(16.6%),14%,265,14.25%,$14.60k,66.20%,86.16%,(7.19%),(73.26%),(18.78%)
Hand Tools,L2,19%,43,0.00%,$549.79,67.92%,91.98%,(3.67%),(82.75%),(13.58%),17%,63,-15.65%,$2.96k,70.97%,88.89%,(4.76%),(82.9%),(12.34%),10%,82,34.59%,$6.63k,58.30%,81.66%,(4.85%),(79.8%),(15.26%),10%,141,-10.10%,$12.26k,60.22%,78.79%,(2.69%),(77.83%),(19.28%),10%,280,12.31%,$11.67k,57.32%,75.46%,(2.06%),(76.1%),(21.72%)
Mattresses,L3,4%,5,0.00%,$1.61k,94.63%,100.00%,(0%),(94.78%),(5.22%),5%,11,-30.16%,$6.95k,92.17%,100.00%,(0.05%),(95.59%),(4.37%),7%,19,-48.16%,$28.50k,86.59%,99.18%,(0.29%),(89.84%),(9.79%),7%,46,0.41%,$37.67k,68.03%,96.54%,(0.21%),(70.49%),(27.99%),5%,60,42.85%,$49.09k,71.50%,93.33%,(0.13%),(67.5%),(31.61%)
Bowls,L3,51%,20,0.00%,$404.62,85.24%,96.63%,(0.74%),(93.1%),(6.16%),42%,32,4.96%,$1.88k,82.96%,95.37%,(1.4%),(87.58%),(11.02%),62%,48,-47.49%,$11.11k,92.11%,96.47%,(0.87%),(92.42%),(6.61%),53%,100,195.01%,$10.10k,86.02%,92.82%,(1.37%),(84.86%),(13.45%),47%,288,81.26%,$5.44k,73.17%,85.97%,(1.29%),(78.15%),(20.34%)
Bathroom Scales,L3,35%,8,0.00%,$830.69,90.51%,100.00%,(6.1%),(91.42%),(2.48%),35%,14,-31.76%,$5.72k,93.01%,99.76%,(3.64%),(94.33%),(2.03%),44%,19,-40.31%,$27.63k,94.37%,99.72%,(1.58%),(95.35%),(3.04%),51%,32,-24.35%,$69.55k,88.05%,99.62%,(1.46%),(91.76%),(5.1%),51%,55,65.68%,$64.89k,82.85%,99.44%,(1.38%),(91.23%),(6.03%)
Rugby,L3,45%,17,0.00%,$1.53k,87.24%,98.85%,(99.77%),(0%),(0.23%),32%,26,75.14%,$3.32k,75.19%,97.16%,(82.53%),(5.42%),(12.05%),26%,39,-33.25%,$13.21k,63.65%,92.07%,(79.62%),(9.04%),(11.34%),28%,90,43.37%,$18.79k,53.54%,84.78%,(76.03%),(6.31%),(17.61%),24%,120,343.52%,$17.27k,47.80%,79.00%,(74.85%),(6.66%),(18.44%)
Household Cleaners,L3,8%,10,0.00%,$1.74k,96.64%,100.00%,(0%),(98.62%),(1.38%),8%,21,11.06%,$7.09k,95.31%,99.61%,(1.47%),(94.01%),(4.52%),6%,35,16.47%,$14.71k,89.30%,99.20%,(1.68%),(92.73%),(5.49%),6%,68,35.16%,$20.00k,79.68%,96.86%,(1.44%),(86.94%),(10.69%),6%,162,134.95%,$11.97k,61.30%,89.94%,(1.24%),(73.42%),(24.68%)
Shoe Accessories,L2,7%,79,0.00%,$135.23,53.92%,70.61%,(5.14%),(76.25%),(18.6%),7%,120,-18.74%,$725.73,45.28%,69.39%,(6.33%),(75.28%),(18.38%),8%,176,-30.72%,$2.90k,52.02%,70.85%,(7.49%),(72.93%),(19.39%),7%,335,0.88%,$4.58k,43.29%,66.20%,(6.54%),(62.67%),(30.09%),9%,519,-17.87%,$6.56k,46.76%,68.74%,(7.91%),(62.66%),(29.02%)
GPS & Accessories,L3,52%,24,0.00%,$909.87,55.82%,89.54%,(2.54%),(92.25%),(5.2%),37%,32,-5.98%,$3.27k,53.47%,84.67%,(2.11%),(85.93%),(11.95%),35%,46,-19.00%,$10.97k,39.25%,83.39%,(2.69%),(78.1%),(19.2%),19%,80,0.60%,$19.86k,36.24%,73.80%,(1.75%),(69.54%),(27.78%),39%,136,-63.46%,$43.66k,44.89%,70.85%,(0.48%),(75.11%),(23.77%)
Handbags,L3,16%,42,0.00%,$466.17,67.26%,90.26%,(32.16%),(59.11%),(8.73%),13%,52,-8.26%,$2.04k,59.61%,88.55%,(18.96%),(69.45%),(11.59%),12%,69,-22.00%,$7.30k,59.70%,88.30%,(14.85%),(66.14%),(18.74%),12%,129,7.32%,$12.60k,49.55%,79.30%,(16.28%),(60.17%),(21.84%),13%,213,-7.36%,$15.87k,36.33%,70.61%,(15.67%),(57.75%),(25.72%)
Blusher,L3,1%,53,0.00%,$158.91,40.06%,71.06%,(11.88%),(73.48%),(14.64%),2%,78,-63.66%,$1.54k,56.33%,82.12%,(23.72%),(64.67%),(11.61%),1%,93,-35.15%,$5.37k,44.63%,79.98%,(22.87%),(66.01%),(11.08%),2%,171,2.62%,$11.18k,46.38%,76.83%,(11.73%),(73.55%),(13.47%),2%,315,-1.17%,$12.20k,40.02%,78.18%,(11.71%),(74.07%),(13.51%)
Desktop & Laptop Components,L2,3%,23,0.00%,$355.08,57.98%,94.45%,(20.86%),(50.61%),(28.53%),6%,41,-44.18%,$2.73k,62.41%,90.87%,(19.34%),(64.23%),(16.43%),5%,58,-20.01%,$8.60k,55.46%,87.75%,(14.88%),(64.71%),(20.05%),7%,99,-26.33%,$17.35k,46.03%,85.14%,(10%),(55.62%),(33.14%),9%,N/A,N/A,N/A,53.90%,87.54%,(6.87%),(61.47%),(30.83%)
Baking,L2,2%,19,0.00%,$431.56,63.13%,96.36%,(32.41%),(60.96%),(6.62%),4%,46,-32.09%,$2.71k,63.81%,93.58%,(22.45%),(63.73%),(13.82%),3%,64,1.19%,$7.74k,58.77%,91.12%,(21.62%),(62.87%),(15.37%),2%,112,107.17%,$8.57k,49.91%,81.52%,(23.01%),(57.52%),(18.78%),2%,156,10.37%,$11.73k,45.35%,77.78%,(20.9%),(60.71%),(18.02%)
Sports & Energy Drinks,L3,11%,20,0.00%,$736.34,62.05%,97.00%,(26.17%),(62.01%),(11.82%),11%,25,-14.08%,$4.67k,59.08%,96.90%,(20.67%),(70.19%),(9.14%),12%,42,5.48%,$11.72k,47.36%,91.48%,(18.7%),(70.28%),(10.86%),15%,81,-21.53%,$26.13k,44.42%,90.15%,(14.96%),(69.47%),(15.16%),14%,123,59.46%,$28.00k,37.55%,86.67%,(16.45%),(66.13%),(17.14%)
Sports Outerwear,L3,4%,22,0.00%,$662.71,81.95%,97.08%,(5.42%),(91.57%),(3.01%),5%,34,-20.33%,$3.60k,82.10%,95.45%,(1.24%),(92.8%),(5.96%),4%,55,-2.67%,$8.82k,78.90%,94.36%,(2.16%),(89.56%),(8.28%),3%,99,56.88%,$12.20k,75.71%,90.76%,(3.43%),(82.23%),(14.05%),3%,164,15.54%,$13.74k,81.27%,90.09%,(1.87%),(86.09%),(11.8%)
Electrical Equipment & Supplies,L2,4%,32,0.00%,$156.58,69.40%,89.26%,(0%),(84.37%),(15.63%),5%,47,-37.98%,$1.26k,58.97%,81.34%,(1.69%),(80.62%),(17.69%),8%,55,-55.56%,$8.66k,62.23%,86.87%,(1.94%),(81.94%),(16.1%),8%,91,-14.88%,$16.38k,51.88%,82.04%,(3.86%),(68.99%),(26.62%),7%,241,22.30%,$11.24k,38.19%,72.85%,(2.63%),(60.7%),(36.31%)
"Hand Lotions, Creams & Scrubs",L3,10%,28,0.00%,$374.39,67.84%,93.48%,(9.92%),(82.33%),(7.75%),10%,41,-16.03%,$1.90k,67.06%,94.30%,(7.46%),(82.03%),(10.51%),10%,63,-14.13%,$7.52k,66.90%,92.56%,(4.6%),(83.24%),(12.13%),11%,112,-29.08%,$17.42k,74.47%,91.60%,(1.89%),(70.29%),(26.73%),14%,191,-13.51%,$22.03k,73.47%,89.93%,(1.86%),(74.29%),(23%)
Acne Treatments,L3,3%,40,0.00%,$360.72,46.43%,84.22%,(23%),(71.53%),(5.47%),2%,53,14.76%,$1.93k,48.32%,82.88%,(20.33%),(71.08%),(8.58%),2%,77,-18.87%,$6.14k,43.82%,81.34%,(15.69%),(72.1%),(12.13%),2%,125,10.06%,$9.86k,36.66%,74.13%,(9.96%),(67.95%),(21.32%),2%,205,-8.42%,$12.58k,43.51%,73.16%,(5.86%),(53.35%),(40.08%)
Chocolate & Chocolate Snacks,L3,4%,19,0.00%,$331.20,71.37%,96.86%,(8.7%),(86.86%),(4.44%),9%,36,-38.40%,$2.74k,81.53%,97.13%,(6.57%),(90.44%),(2.99%),9%,54,-30.82%,$8.62k,77.27%,95.76%,(34.04%),(62.17%),(3.69%),8%,113,-4.34%,$11.88k,69.48%,92.75%,(37.56%),(53.2%),(8.69%),7%,191,25.77%,$12.62k,65.06%,84.57%,(35.84%),(50.34%),(13.02%)
Juice & Smoothies,L3,12%,9,0.00%,$1.76k,97.89%,100.00%,(4.82%),(94.72%),(0.46%),11%,17,-10.79%,$6.64k,95.56%,99.75%,(8.69%),(90.48%),(0.83%),11%,31,31.92%,$14.95k,89.81%,99.25%,(10.93%),(83.6%),(4.85%),5%,63,172.75%,$12.09k,79.64%,95.10%,(13.02%),(75.28%),(10.54%),6%,94,-2.82%,$16.44k,59.25%,95.81%,(13.53%),(70.9%),(14.5%)
Lip Treatments,L3,3%,61,0.00%,$300.28,72.37%,89.26%,(34.11%),(61.8%),(4.09%),3%,90,-22.67%,$1.37k,56.40%,81.75%,(20.66%),(68.91%),(10.43%),2%,123,-1.06%,$3.76k,46.24%,71.64%,(13.33%),(71.71%),(14.79%),2%,227,-15.67%,$6.61k,30.28%,64.82%,(10.3%),(60.24%),(27.94%),3%,410,-13.17%,$7.88k,31.71%,60.88%,(9.82%),(59.78%),(29%)
Dressmaking Fabrics,L2,1%,30,0.00%,$385.68,60.10%,94.08%,(3.33%),(72.01%),(24.66%),1%,50,3.81%,$2.05k,48.75%,89.30%,(10.93%),(65.65%),(23.41%),1%,69,12.19%,$6.65k,49.98%,88.36%,(15.76%),(62.28%),(21.91%),1%,139,23.24%,$8.63k,40.89%,80.40%,(19.53%),(47.09%),(32.97%),1%,241,-63.03%,$18.43k,45.67%,85.32%,(21.84%),(49.02%),(28.96%)
Basketball,L3,17%,16,0.00%,$591.51,87.01%,98.41%,(20.67%),(77.91%),(1.42%),16%,33,-1.05%,$1.30k,73.64%,93.76%,(35.43%),(56.41%),(8.17%),23%,74,-68.87%,$6.18k,60.27%,86.39%,(32.7%),(50.28%),(17.02%),21%,137,49.56%,$9.23k,51.85%,76.18%,(34.77%),(44.47%),(20.65%),17%,191,713.08%,$7.43k,46.17%,70.05%,(33.24%),(43.31%),(23.34%)
Lights & Lighting,L2,5%,8,0.00%,$821.13,81.69%,100.00%,(0%),(93.36%),(6.64%),4%,9,-0.39%,$5.64k,88.57%,100.00%,(0%),(94.53%),(5.47%),8%,9,-57.36%,$50.65k,93.71%,100.00%,(0%),(98.85%),(1.13%),11%,9,-45.06%,$231.37k,91.49%,100.00%,(0.01%),(95.38%),(4.28%),6%,9,1151.33%,$249.86k,91.11%,100.00%,(0.01%),(95.7%),(3.97%)
