shop_name,shop_type,shop_earliest_date_recorded,shop_soa_revenue_Yesterday,shop_soa_revenue_per_day_Yesterday,shop_affiliate_revenue_Yesterday,shop_affiliate_revenue_per_day_Yesterday,shop_soa_revenue_share_Yesterday,shop_aff_revenue_share_Yesterday,shop_mall_revenue_share_Yesterday,shop_soa_revenue_Last 7 Days,shop_soa_revenue_per_day_Last 7 Days,shop_affiliate_revenue_Last 7 Days,shop_affiliate_revenue_per_day_Last 7 Days,shop_soa_revenue_share_Last 7 Days,shop_aff_revenue_share_Last 7 Days,shop_mall_revenue_share_Last 7 Days,shop_soa_revenue_Last 30 Days,shop_soa_revenue_per_day_Last 30 Days,shop_affiliate_revenue_Last 30 Days,shop_affiliate_revenue_per_day_Last 30 Days,shop_soa_revenue_share_Last 30 Days,shop_aff_revenue_share_Last 30 Days,shop_mall_revenue_share_Last 30 Days,shop_soa_revenue_Last 90 Days,shop_soa_revenue_per_day_Last 90 Days,shop_affiliate_revenue_Last 90 Days,shop_affiliate_revenue_per_day_Last 90 Days,shop_soa_revenue_share_Last 90 Days,shop_aff_revenue_share_Last 90 Days,shop_mall_revenue_share_Last 90 Days,shop_soa_revenue_Last 180 Days,shop_soa_revenue_per_day_Last 180 Days,shop_affiliate_revenue_Last 180 Days,shop_affiliate_revenue_per_day_Last 180 Days,shop_soa_revenue_share_Last 180 Days,shop_aff_revenue_share_Last 180 Days,shop_mall_revenue_share_Last 180 Days
Genius Beauty,BRAND,11/01/2023,$23.03k,$0.00 Per Day,$21.55k,$21.55k Per Day,(0%),(93.58%),(6.42%),$162.92k,$17.14 Per Day,$153.34k,$21.91k Per Day,(0.07%),(94.12%),(5.81%),$939.56k,$10.16 Per Day,$899.50k,$29.98k Per Day,(0.03%),(95.74%),(4.23%),$2.38m,$3.73 Per Day,$2.23m,$24.73k Per Day,(0.01%),(93.58%),(6.41%),$2.88m,$1.86 Per Day,$2.69m,$14.97k Per Day,(0.01%),(93.62%),(6.37%)
Olivia Magic Go,RETAILER,04/23/2024,$9.83k,$0.00 Per Day,$9.83k,$9.83k Per Day,(0%),(100%),(0%),$120.46k,$0.00 Per Day,$120.46k,$17.21k Per Day,(0%),(100%),(0%),$929.37k,$50.30 Per Day,$927.86k,$30.93k Per Day,(0.16%),(99.84%),(0%),$1.73m,$184.40 Per Day,$1.69m,$18.81k Per Day,(0.96%),(97.72%),(1.33%),$2.23m,$122.93 Per Day,$2.18m,$16.12k Per Day,(0.75%),(97.72%),(1.54%)
EZ Bombs,BRAND,02/29/2024,$48.37k,$26.85k Per Day,$21.52k,$21.52k Per Day,(55.51%),(44.49%),(0%),$179.54k,$8.27k Per Day,$121.64k,$17.38k Per Day,(32.25%),(67.75%),(0%),$928.30k,$5.57k Per Day,$759.73k,$25.32k Per Day,(17.99%),(81.84%),(0.17%),$4.87m,$3.96k Per Day,$4.23m,$46.97k Per Day,(7.33%),(86.85%),(5.82%),$5.73m,$3.89k Per Day,$4.71m,$26.16k Per Day,(12.24%),(82.22%),(5.54%)
Snap Supplements,BRAND,01/09/2024,$28.16k,$2.89k Per Day,$23.50k,$23.50k Per Day,(10.28%),(83.45%),(6.27%),$252.92k,$1.68k Per Day,$223.61k,$31.94k Per Day,(4.66%),(88.41%),(6.93%),$921.97k,$1.18k Per Day,$824.69k,$27.49k Per Day,(3.85%),(89.45%),(6.71%),$3.37m,$2.36k Per Day,$2.83m,$31.44k Per Day,(6.32%),(84.06%),(9.62%),$5.42m,$1.46k Per Day,$4.43m,$24.62k Per Day,(4.84%),(81.69%),(13.47%)
Pacsun,BRAND,07/25/2023,$24.11k,$269.85 Per Day,$22.99k,$22.99k Per Day,(1.12%),(95.34%),(3.54%),$279.31k,$7.27k Per Day,$219.99k,$31.43k Per Day,(18.21%),(78.76%),(3.03%),$920.38k,$3.15k Per Day,$714.56k,$23.82k Per Day,(10.26%),(77.64%),(12.11%),$6.53m,$6.60k Per Day,$4.38m,$48.69k Per Day,(9.1%),(67.11%),(23.79%),$8.86m,$3.50k Per Day,$6.28m,$34.90k Per Day,(7.11%),(70.87%),(22.01%)
HOTWAVEUS,BRAND,07/21/2023,$37.33k,$0.00 Per Day,$36.76k,$36.76k Per Day,(0%),(98.48%),(1.52%),$227.16k,$0.00 Per Day,$217.63k,$31.09k Per Day,(0%),(95.8%),(4.2%),$919.04k,$4.42k Per Day,$769.88k,$25.66k Per Day,(14.44%),(83.77%),(1.79%),$1.86m,$2.53k Per Day,$1.55m,$17.22k Per Day,(12.27%),(83.41%),(4.32%),$2.82m,$1.29k Per Day,$2.49m,$13.82k Per Day,(8.24%),(88.17%),(3.6%)
RUIBAO Shoes,RETAILER,10/14/2023,$18.25k,$0.00 Per Day,$18.20k,$18.20k Per Day,(0%),(99.69%),(0.31%),$117.24k,$0.00 Per Day,$116.68k,$16.67k Per Day,(0%),(99.52%),(0.48%),$913.90k,$0.00 Per Day,$896.62k,$29.89k Per Day,(0%),(98.11%),(1.89%),$2.64m,$0.00 Per Day,$2.44m,$27.06k Per Day,(0%),(92.21%),(7.79%),$4.04m,$0.00 Per Day,$3.80m,$21.12k Per Day,(0%),(94.14%),(5.86%)
SHAPSHE,BRAND,12/12/2023,$27.02k,$1.53k Per Day,$25.49k,$25.49k Per Day,(5.65%),(94.35%),(0%),$253.20k,$2.29k Per Day,$235.82k,$33.69k Per Day,(6.33%),(93.14%),(0.53%),$911.46k,$5.23k Per Day,$752.36k,$25.08k Per Day,(17.23%),(82.54%),(0.23%),$1.76m,$2.42k Per Day,$1.47m,$16.39k Per Day,(12.41%),(83.92%),(3.67%),$2.52m,$1.21k Per Day,$2.21m,$12.26k Per Day,(8.66%),(87.57%),(3.78%)
CANVAS BEAUTY BRAND,BRAND,08/28/2023,$3.73k,$0.00 Per Day,$3.73k,$3.73k Per Day,(0%),(100%),(0%),$150.46k,$0.00 Per Day,$150.26k,$21.47k Per Day,(0%),(99.87%),(0.13%),$910.64k,$0.00 Per Day,$906.87k,$30.23k Per Day,(0%),(99.59%),(0.41%),$4.90m,$0.00 Per Day,$4.22m,$46.85k Per Day,(0%),(86.09%),(13.91%),$10.51m,$0.00 Per Day,$9.76m,$54.23k Per Day,(0%),(92.87%),(7.13%)
chicme,RETAILER,01/20/2024,$31.88k,$2.03k Per Day,$28.54k,$28.54k Per Day,(6.37%),(89.53%),(4.1%),$206.07k,$1.92k Per Day,$184.30k,$26.33k Per Day,(6.53%),(89.44%),(4.04%),$910.30k,$2.24k Per Day,$801.35k,$26.71k Per Day,(7.39%),(88.03%),(4.58%),$3.52m,$1.84k Per Day,$2.96m,$32.92k Per Day,(4.7%),(84.07%),(11.22%),$4.63m,$920.71 Per Day,$3.80m,$21.13k Per Day,(3.58%),(82.18%),(14.24%)
Asvivid,RETAILER,10/18/2023,$24.71k,$0.00 Per Day,$24.26k,$24.26k Per Day,(0%),(98.21%),(1.79%),$370.58k,$0.00 Per Day,$368.11k,$52.59k Per Day,(0%),(99.33%),(0.67%),$903.89k,$0.00 Per Day,$892.02k,$29.73k Per Day,(0%),(98.69%),(1.31%),$1.53m,$0.00 Per Day,$1.46m,$16.26k Per Day,(0%),(95.95%),(4.05%),$1.73m,$0.00 Per Day,$1.65m,$9.17k Per Day,(0%),(95.56%),(4.44%)
Her Fantasy Box,RETAILER,10/17/2023,$18.49k,$674.28 Per Day,$17.81k,$17.81k Per Day,(3.65%),(96.35%),(0%),$158.01k,$627.94 Per Day,$152.84k,$21.83k Per Day,(2.78%),(96.73%),(0.49%),$903.37k,$784.06 Per Day,$858.82k,$28.63k Per Day,(2.6%),(95.07%),(2.33%),$3.78m,$507.22 Per Day,$3.43m,$38.12k Per Day,(1.21%),(90.77%),(8.02%),$7.04m,$514.20 Per Day,$6.54m,$36.35k Per Day,(1.31%),(92.88%),(5.81%)
Zhichun Clothing,RETAILER,09/06/2023,$23.17k,$0.00 Per Day,$23.02k,$23.02k Per Day,(0%),(99.31%),(0.69%),$177.44k,$0.00 Per Day,$175.79k,$25.11k Per Day,(0%),(99.07%),(0.93%),$898.33k,$0.00 Per Day,$872.51k,$29.08k Per Day,(0%),(97.13%),(2.87%),$1.26m,$0.00 Per Day,$1.22m,$13.51k Per Day,(0%),(96.53%),(3.47%),$1.41m,$0.00 Per Day,$1.36m,$7.56k Per Day,(0%),(96.75%),(3.25%)
SACHEU Beauty,RETAILER,07/21/2023,$35.98k,$1.69k Per Day,$34.29k,$34.29k Per Day,(4.69%),(95.31%),(0%),$270.96k,$554.83 Per Day,$266.47k,$38.07k Per Day,(1.43%),(98.34%),(0.22%),$894.42k,$349.70 Per Day,$877.67k,$29.26k Per Day,(1.17%),(98.13%),(0.7%),$3.62m,$642.72 Per Day,$3.41m,$37.93k Per Day,(1.6%),(94.36%),(4.04%),$5.66m,$519.32 Per Day,$5.41m,$30.04k Per Day,(1.65%),(95.61%),(2.74%)
YOZY,BRAND,08/09/2023,$19.05k,$2.99k Per Day,$11.60k,$11.60k Per Day,(15.72%),(60.92%),(23.37%),$134.32k,$2.19k Per Day,$94.09k,$13.44k Per Day,(11.42%),(70.05%),(18.53%),$889.73k,$5.68k Per Day,$563.75k,$18.79k Per Day,(19.17%),(63.36%),(17.47%),$2.76m,$5.77k Per Day,$1.78m,$19.74k Per Day,(18.83%),(64.46%),(16.71%),$4.45m,$3.13k Per Day,$3.12m,$17.34k Per Day,(12.68%),(70.18%),(17.15%)
Physician's Choice,RETAILER,12/04/2023,$19.90k,$0.00 Per Day,$19.88k,$19.88k Per Day,(0%),(99.9%),(0.1%),$153.78k,$149.29 Per Day,$152.29k,$21.76k Per Day,(0.68%),(99.03%),(0.29%),$888.38k,$94.82 Per Day,$880.85k,$29.36k Per Day,(0.32%),(99.15%),(0.53%),$3.18m,$31.61 Per Day,$2.86m,$31.77k Per Day,(0.09%),(89.81%),(10.1%),$6.87m,$15.80 Per Day,$6.42m,$35.68k Per Day,(0.04%),(93.55%),(6.41%)
Dani Morgans Boutique,BRAND,07/25/2023,$14.33k,$4.19k Per Day,$9.87k,$9.87k Per Day,(29.27%),(68.87%),(1.87%),$162.80k,$7.08k Per Day,$103.71k,$14.82k Per Day,(30.46%),(63.7%),(5.84%),$883.53k,$4.62k Per Day,$706.93k,$23.56k Per Day,(15.67%),(80.01%),(4.31%),$2.44m,$5.35k Per Day,$1.78m,$19.74k Per Day,(19.74%),(72.75%),(7.52%),$3.29m,$4.36k Per Day,$2.16m,$12.01k Per Day,(23.85%),(65.67%),(10.48%)
Bask and Lather Co,BRAND,07/22/2023,$17.61k,$5.15k Per Day,$12.23k,$12.23k Per Day,(29.26%),(69.41%),(1.33%),$116.74k,$3.63k Per Day,$87.16k,$12.45k Per Day,(21.77%),(74.66%),(3.57%),$874.33k,$4.35k Per Day,$694.80k,$23.16k Per Day,(14.93%),(79.47%),(5.6%),$1.79m,$3.38k Per Day,$1.32m,$14.63k Per Day,(17.03%),(73.74%),(9.24%),$2.98m,$3.35k Per Day,$2.16m,$11.99k Per Day,(20.23%),(72.44%),(7.33%)
ZENGVEE Fashion,RETAILER,11/14/2023,$17.53k,$0.00 Per Day,$17.34k,$17.34k Per Day,(0%),(98.92%),(1.08%),$182.11k,$0.00 Per Day,$180.14k,$25.73k Per Day,(0%),(98.92%),(1.08%),$851.91k,$0.00 Per Day,$838.12k,$27.94k Per Day,(0%),(98.38%),(1.62%),$2.31m,$0.00 Per Day,$2.17m,$24.07k Per Day,(0%),(93.86%),(6.14%),$3.28m,$0.00 Per Day,$3.04m,$16.89k Per Day,(0%),(92.82%),(7.18%)
Momofuku,RETAILER,04/03/2024,$12.18k,$0.00 Per Day,$11.26k,$11.26k Per Day,(0%),(92.47%),(7.53%),$139.15k,$4.18 Per Day,$134.60k,$19.23k Per Day,(0.02%),(96.73%),(3.25%),$851.32k,$35.51 Per Day,$825.55k,$27.52k Per Day,(0.13%),(96.97%),(2.9%),$969.75k,$16.31 Per Day,$923.92k,$10.27k Per Day,(0.15%),(95.27%),(4.57%),$978.33k,$9.47 Per Day,$924.80k,$5.97k Per Day,(0.15%),(94.53%),(5.32%)
Wequeen,BRAND,03/20/2024,$23.45k,$1.32k Per Day,$20.13k,$20.13k Per Day,(5.61%),(85.83%),(8.56%),$167.98k,$1.30k Per Day,$139.64k,$19.95k Per Day,(5.44%),(83.13%),(11.44%),$843.27k,$1.02k Per Day,$695.57k,$23.19k Per Day,(3.63%),(82.49%),(13.88%),$2.18m,$415.22 Per Day,$1.83m,$20.36k Per Day,(1.72%),(84.19%),(14.1%),$3.68m,$221.12 Per Day,$3.31m,$19.57k Per Day,(1.02%),(89.87%),(9.11%)
BrüMate,RETAILER,11/30/2023,$11.35k,$0.00 Per Day,$11.24k,$11.24k Per Day,(0%),(99.07%),(0.93%),$205.14k,$0.00 Per Day,$204.48k,$29.21k Per Day,(0%),(99.68%),(0.32%),$832.02k,$0.00 Per Day,$824.67k,$27.49k Per Day,(0%),(99.12%),(0.88%),$1.29m,$0.00 Per Day,$1.26m,$13.97k Per Day,(0%),(97.38%),(2.62%),$1.29m,$0.00 Per Day,$1.26m,$6.99k Per Day,(0%),(97.31%),(2.69%)
Lovevook Bags,BRAND,12/12/2023,$19.90k,$686.64 Per Day,$18.70k,$18.70k Per Day,(3.45%),(94%),(2.55%),$167.19k,$1.96k Per Day,$146.94k,$20.99k Per Day,(8.2%),(87.89%),(3.92%),$830.49k,$2.02k Per Day,$722.28k,$24.08k Per Day,(7.28%),(86.97%),(5.75%),$2.49m,$1.80k Per Day,$2.01m,$22.37k Per Day,(6.53%),(80.98%),(12.49%),$3.76m,$901.51 Per Day,$3.08m,$17.12k Per Day,(4.32%),(82.02%),(13.66%)
Wyze,BRAND,07/21/2023,$26.22k,$3.76k Per Day,$22.04k,$22.04k Per Day,(14.34%),(84.06%),(1.6%),$204.51k,$5.83k Per Day,$160.97k,$23.00k Per Day,(19.95%),(78.71%),(1.34%),$818.80k,$4.64k Per Day,$640.61k,$21.35k Per Day,(16.98%),(78.24%),(4.78%),$3.24m,$5.19k Per Day,$2.53m,$28.15k Per Day,(14.42%),(78.22%),(7.37%),$11.98m,$3.89k Per Day,$10.33m,$57.37k Per Day,(5.85%),(86.18%),(7.98%)
ZenActive.US,RETAILER,11/29/2023,$13.50k,$989.49 Per Day,$12.51k,$12.51k Per Day,(7.33%),(92.67%),(0%),$169.08k,$1.25k Per Day,$159.83k,$22.83k Per Day,(5.19%),(94.53%),(0.28%),$818.33k,$606.47 Per Day,$794.23k,$26.47k Per Day,(2.22%),(97.06%),(0.72%),$3.21m,$337.71 Per Day,$3.09m,$34.31k Per Day,(0.95%),(96.28%),(2.77%),$5.17m,$168.86 Per Day,$4.47m,$24.81k Per Day,(0.59%),(86.38%),(13.03%)
Merach US,BRAND,01/24/2024,$34.33k,$14.19k Per Day,$20.14k,$20.14k Per Day,(41.33%),(58.67%),(0%),$170.68k,$11.21k Per Day,$92.19k,$13.17k Per Day,(45.99%),(54.01%),(0%),$817.08k,$7.32k Per Day,$596.73k,$19.89k Per Day,(26.88%),(73.03%),(0.09%),$1.33m,$3.29k Per Day,$957.18k,$10.64k Per Day,(22.22%),(71.88%),(5.9%),$1.37m,$1.64k Per Day,$961.23k,$5.34k Per Day,(21.59%),(70.16%),(8.25%)
PRITOM,RETAILER,11/12/2023,$11.03k,$0.00 Per Day,$11.03k,$11.03k Per Day,(0%),(100%),(0%),$137.45k,$0.00 Per Day,$137.45k,$19.64k Per Day,(0%),(100%),(0%),$815.96k,$0.00 Per Day,$807.88k,$26.93k Per Day,(0%),(99.01%),(0.99%),$1.98m,$0.00 Per Day,$1.95m,$21.62k Per Day,(0%),(98.27%),(1.73%),$2.60m,$0.00 Per Day,$2.50m,$13.91k Per Day,(0%),(96.28%),(3.72%)
Rainbow Boutique LLC,BRAND,08/07/2023,$31.77k,$21.10k Per Day,$10.62k,$10.62k Per Day,(66.41%),(33.41%),(0.18%),$171.70k,$14.61k Per Day,$69.39k,$9.91k Per Day,(59.54%),(40.41%),(0.04%),$800.03k,$13.65k Per Day,$386.18k,$12.87k Per Day,(51.19%),(48.27%),(0.54%),$2.66m,$14.74k Per Day,$1.17m,$13.05k Per Day,(49.92%),(44.22%),(5.86%),$3.87m,$9.99k Per Day,$1.60m,$8.89k Per Day,(46.52%),(41.37%),(12.11%)
Bitvae Oral Care,BRAND,07/21/2023,$16.24k,$3.37k Per Day,$12.87k,$12.87k Per Day,(20.75%),(79.25%),(0%),$120.14k,$2.33k Per Day,$103.64k,$14.81k Per Day,(13.6%),(86.27%),(0.13%),$797.28k,$2.15k Per Day,$693.10k,$23.10k Per Day,(8.09%),(86.93%),(4.97%),$2.26m,$815.86 Per Day,$2.00m,$22.21k Per Day,(3.25%),(88.49%),(8.26%),$7.84m,$441.23 Per Day,$7.55m,$41.92k Per Day,(1.01%),(96.27%),(2.71%)
Ava Lane Boutique,BRAND,09/17/2023,$27.93k,$11.97k Per Day,$15.26k,$15.26k Per Day,(42.87%),(54.64%),(2.49%),$208.20k,$10.72k Per Day,$111.32k,$15.90k Per Day,(36.05%),(53.47%),(10.49%),$779.68k,$11.37k Per Day,$344.65k,$11.49k Per Day,(43.75%),(44.2%),(12.05%),$2.22m,$8.70k Per Day,$881.29k,$9.79k Per Day,(35.31%),(39.76%),(24.93%),$3.33m,$6.25k Per Day,$979.39k,$5.44k Per Day,(33.79%),(29.44%),(36.77%)
Hsia-Bras,RETAILER,11/29/2023,$16.16k,$8.57k Per Day,$7.44k,$7.44k Per Day,(53.05%),(46.03%),(0.92%),$136.91k,$5.74k Per Day,$83.86k,$11.98k Per Day,(29.35%),(61.25%),(9.4%),$775.18k,$4.51k Per Day,$553.50k,$18.45k Per Day,(17.46%),(71.4%),(11.13%),$1.92m,$2.84k Per Day,$1.33m,$14.79k Per Day,(13.26%),(69.16%),(17.58%),$3.91m,$1.57k Per Day,$2.87m,$15.96k Per Day,(7.22%),(73.45%),(19.33%)
GENIMO,BRAND,10/27/2023,$20.52k,$291.96 Per Day,$20.23k,$20.23k Per Day,(1.42%),(98.58%),(0%),$128.43k,$51.14 Per Day,$127.44k,$18.21k Per Day,(0.28%),(99.23%),(0.49%),$771.33k,$196.34 Per Day,$748.26k,$24.94k Per Day,(0.76%),(97.01%),(2.23%),$1.64m,$263.74 Per Day,$1.56m,$17.30k Per Day,(1.44%),(94.75%),(3.81%),$2.24m,$131.87 Per Day,$2.11m,$11.72k Per Day,(1.06%),(94.11%),(4.83%)
MySmileUS,BRAND,07/21/2023,$8.76k,$0.00 Per Day,$8.53k,$8.53k Per Day,(0%),(97.4%),(2.6%),$93.06k,$18.95 Per Day,$88.72k,$12.67k Per Day,(0.14%),(95.34%),(4.52%),$765.70k,$288.35 Per Day,$727.77k,$24.26k Per Day,(1.13%),(95.05%),(3.82%),$1.85m,$592.89 Per Day,$1.72m,$19.12k Per Day,(2.88%),(92.76%),(4.36%),$4.28m,$687.57 Per Day,$3.97m,$22.05k Per Day,(2.89%),(92.68%),(4.43%)
MeokyShop,BRAND,08/05/2023,$12.77k,$0.00 Per Day,$12.77k,$12.77k Per Day,(0%),(100%),(0%),$209.30k,$0.00 Per Day,$209.30k,$29.90k Per Day,(0%),(100%),(0%),$759.52k,$35.19 Per Day,$753.49k,$25.12k Per Day,(0.14%),(99.21%),(0.66%),$2.97m,$12.35 Per Day,$2.90m,$32.21k Per Day,(0.04%),(97.72%),(2.25%),$5.60m,$25.59 Per Day,$5.50m,$30.57k Per Day,(0.08%),(98.29%),(1.63%)
Emma Lous Boutique,BRAND,07/25/2023,$11.42k,$4.08k Per Day,$3.76k,$3.76k Per Day,(35.71%),(32.88%),(31.4%),$197.10k,$6.85k Per Day,$72.74k,$10.39k Per Day,(24.31%),(36.9%),(38.79%),$741.67k,$6.47k Per Day,$279.64k,$9.32k Per Day,(26.18%),(37.7%),(36.12%),$1.72m,$4.18k Per Day,$467.20k,$5.19k Per Day,(21.84%),(27.14%),(51.02%),$3.77m,$5.14k Per Day,$698.04k,$3.88k Per Day,(24.56%),(18.52%),(56.92%)
iHerb,RETAILER,01/13/2024,$18.59k,$143.58 Per Day,$17.49k,$17.49k Per Day,(0.77%),(94.11%),(5.12%),$143.12k,$3.38k Per Day,$109.02k,$15.57k Per Day,(16.52%),(76.17%),(7.3%),$731.69k,$2.73k Per Day,$578.14k,$19.27k Per Day,(11.19%),(79.01%),(9.8%),$2.66m,$2.79k Per Day,$2.09m,$23.18k Per Day,(9.44%),(78.49%),(12.08%),$3.57m,$1.42k Per Day,$2.78m,$15.45k Per Day,(7.14%),(77.82%),(15.04%)
WestKiss Hair Store,RETAILER,07/26/2023,$14.26k,$8.65k Per Day,$4.82k,$4.82k Per Day,(60.65%),(33.78%),(5.57%),$202.13k,$9.79k Per Day,$42.63k,$6.09k Per Day,(33.91%),(21.09%),(45%),$727.38k,$8.04k Per Day,$199.88k,$6.66k Per Day,(33.15%),(27.48%),(39.37%),$1.76m,$8.08k Per Day,$585.10k,$6.50k Per Day,(41.42%),(33.31%),(25.27%),$4.04m,$9.92k Per Day,$1.63m,$9.04k Per Day,(44.16%),(40.25%),(15.59%)
SNOW Teeth Whitening,BRAND,11/07/2023,$12.56k,$134.00 Per Day,$12.32k,$12.32k Per Day,(1.07%),(98.06%),(0.88%),$109.01k,$55.14 Per Day,$108.24k,$15.46k Per Day,(0.35%),(99.29%),(0.35%),$727.17k,$72.70 Per Day,$720.95k,$24.03k Per Day,(0.3%),(99.14%),(0.56%),$1.93m,$27.33 Per Day,$1.89m,$20.97k Per Day,(0.13%),(97.59%),(2.28%),$1.95m,$13.67 Per Day,$1.89m,$10.51k Per Day,(0.13%),(96.8%),(3.07%)
Halimomo Technology,RETAILER,01/13/2024,$18.46k,$0.00 Per Day,$18.44k,$18.44k Per Day,(0%),(99.92%),(0.08%),$213.68k,$0.00 Per Day,$213.57k,$30.51k Per Day,(0%),(99.95%),(0.05%),$705.38k,$0.00 Per Day,$695.91k,$23.20k Per Day,(0%),(98.66%),(1.34%),$714.78k,$0.00 Per Day,$699.97k,$7.78k Per Day,(0%),(97.93%),(2.07%),$734.09k,$0.00 Per Day,$702.14k,$3.90k Per Day,(0%),(95.65%),(4.35%)
